행정구역별,산업별,사업체구분별,2006사업체,2006종사자,2007사업체,2007종사자,2008사업체,2008종사자,2009사업체,2009종사자,2010사업체,2010종사자,2011사업체,2011종사자,2012사업체,2012종사자,2013사업체,2013종사자,2014사업체,2014종사자,2015사업체,2015종사자,2016사업체,2016종사자,2017사업체,2017종사자,2018사업체,2018종사자,2019사업체,2019종사자
인천,전체 산업,계,155433,745089,158698,765757,157979,765010,159595,790189,163653,827734,169419,848376,177196,871491,177988,895633,183593,931795,186011,984652,191566,1004747,196705,1034344,202493,1070454,206244,1092494
인천,"농업, 임업 및 어업(01~03)",계,16,178,19,173,24,235,23,173,19,144,18,125,19,123,22,165,30,176,27,205,27,264,33,294,36,201,47,209
인천,광업(05~08),계,30,545,31,607,27,577,28,578,29,587,28,538,30,572,32,546,38,615,32,610,34,639,35,634,32,549,31,531
인천,제조업(10~34),계,20855,218490,20950,216224,20118,208604,19788,206296,20518,216901,21219,220821,22539,226191,22566,229048,23667,234742,24762,245240,24738,248950,24826,250329,25235,247361,25190,244352
인천,"전기, 가스, 증기 및 공기조절 공급업(35)",계,46,3161,46,3155,45,2935,45,3337,52,3176,53,3070,54,3054,56,3430,58,3562,58,3702,57,3557,63,3799,67,3726,71,4069
인천,"수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",계,304,4729,313,5222,313,5419,309,5348,337,5574,363,5232,390,5393,402,6023,444,6007,452,6234,449,6163,452,6160,495,6488,516,7096
인천,건설업(41~42),계,4132,28308,4354,32057,4363,30565,4367,30928,4511,43769,4755,38362,4885,36505,4911,36624,5193,36941,5346,49158,5561,48871,5859,51119,6278,55565,6463,56774
인천,도매 및 소매업(45~47),계,38165,108075,38658,110176,37893,108934,38187,110783,39438,113730,40789,116744,42278,121133,42640,126809,44334,130472,45181,136060,45898,139481,46705,143663,47008,146626,46874,147971
인천,운수 및 창고업(49~52),계,19217,57430,20021,57766,20067,57189,20069,64115,20054,62485,21083,67249,23400,68879,22755,66874,23081,72358,23238,76377,24271,77026,24187,76998,26111,84685,26774,83113
인천,숙박 및 음식점업(55~56),계,28905,75527,28939,77833,28755,77411,29144,79446,29839,80976,30760,84077,31708,88422,32198,91929,33116,97319,33295,99532,34301,102169,35316,104921,36043,111297,37321,114801
인천,정보통신업(58~63),계,477,6413,496,6054,494,6647,486,6156,519,6029,593,6552,658,6880,676,6757,801,7564,854,8039,861,8176,947,9043,1023,9902,1089,10200
인천,금융 및 보험업(64~66),계,1409,22887,1480,22817,1483,23656,1515,24563,1559,24604,1591,25134,1644,25995,1652,24960,1651,25419,1685,25460,1720,25498,1770,25929,1802,25635,1771,25519
인천,부동산업(68),계,5904,18284,6631,19877,7145,20061,7320,20571,6971,18987,6876,19309,6656,18550,6503,18661,6676,19338,6662,19491,7274,20923,7729,21758,8175,23363,8523,23743
인천,"전문, 과학 및 기술 서비스업(70~73)",계,2156,15339,2240,16718,2289,17678,2353,19803,2401,19317,2613,21457,2775,21356,2864,22672,3113,25399,3284,28242,3351,28743,3498,27677,3840,30601,4105,31577
인천,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",계,1948,23080,1941,27322,1937,28975,1948,31048,2041,32843,2255,36348,2389,37930,2505,41779,2724,42580,2807,47587,2788,43398,2919,46653,3029,47082,3142,51649
인천,"공공행정, 국방 및 사회보장 행정(84)",계,453,25868,432,27186,415,28716,415,29832,447,30861,441,31326,445,29040,449,29871,448,31403,473,33623,479,32776,483,35245,485,36806,486,38067
인천,교육 서비스업(85),계,6101,56514,6344,58939,6482,59966,6578,61423,6815,64959,7017,64594,7064,66033,7168,67173,7308,68148,7378,71499,7708,70917,8067,72855,8321,73735,8553,76559
인천,보건업 및 사회복지 서비스업(86~87),계,3630,31768,3864,34177,4126,37680,4348,43268,4816,50416,5230,53553,5734,59225,6082,65231,6505,72128,6499,74889,7005,88357,7333,95218,7384,101680,7586,109265
인천,"예술, 스포츠 및 여가관련 서비스업(90~91)",계,5235,13039,5210,12954,5365,13619,5624,14728,5694,14233,5866,14982,5922,15650,5849,16041,5707,15875,5421,15846,6052,17432,6684,19842,6882,21974,6968,22560
인천,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",계,16450,35454,16729,36500,16638,36143,17048,37793,17593,38143,17869,38903,18606,40560,18658,41040,18699,41749,18557,42858,18992,41407,19799,42207,20247,43178,20734,44439
